。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 
嫁 : 囊 0 | 矶 1 | 泼 2 | 暨 3 | 翠 4 | 巾 5 | 秉 6 | 炳 7 | 邱 8 | 枯 9 | 

叉 : 巾 0 | 炳 1 | 暨 2 | 枯 3 | 矶 4 | 勉 5 | 囊 6 | 蚀 7 | 泼 8 | 芝 9 | 

薪 : 勉 0 | 蚀 1 | 枯 2 | 芝 3 | 炳 4 | 饶 5 | 巾 6 | 桩 7 | 暨 8 | 擦 9 | 

羽 : 饶 0 | 桩 1 | 芝 2 | 擦 3 | 蚀 4 | 崛 5 | 勉 6 | 绸 7 | 枯 8 | 掏 9 | 

愤 : 崛 0 | 绸 1 | 擦 2 | 掏 3 | 桩 4 | 鹅 5 | 饶 6 | 寂 7 | 芝 8 | 臂 9 | 

冀 : 鹅 0 | 寂 1 | 掏 2 | 臂 3 | 绸 4 | 椅 5 | 崛 6 | 逊 7 | 擦 8 | 寓 9 | 

劾 : 椅 0 | 逊 1 | 臂 2 | 寓 3 | 寂 4 | 雁 5 | 鹅 6 | 橡 7 | 掏 8 | 牡 9 | 

淑 : 雁 0 | 橡 1 | 寓 2 | 牡 3 | 逊 4 | 圭 5 | 椅 6 | 鹤 7 | 臂 8 | 沫 9 | 

募 : 圭 0 | 鹤 1 | 牡 2 | 沫 3 | 橡 4 | ｎ 5 | 雁 6 | 趟 7 | 寓 8 | 吾 9 | 

缆 : ｎ 0 | 趟 1 | 沫 2 | 吾 3 | 鹤 4 | 婴 5 | 圭 6 | 肠 7 | 牡 8 | 砂 9 | 

滔 : 婴 0 | 肠 1 | 吾 2 | 砂 3 | 趟 4 | 扮 5 | ｎ 6 | 猫 7 | 沫 8 | 彬 9 | 

冤 : 扮 0 | 猫 1 | 砂 2 | 彬 3 | 肠 4 | 鄂 5 | 婴 6 | 潭 7 | 吾 8 | 窑 9 | 

恋 : 鄂 0 | 潭 1 | 彬 2 | 窑 3 | 猫 4 | 愉 5 | 扮 6 | 肤 7 | 砂 8 | 疼 9 | 

饥 : 愉 0 | 肤 1 | 窑 2 | 疼 3 | 潭 4 | 帷 5 | 鄂 6 | 纱 7 | 彬 8 | 嘱 9 | 

芝 : 帷 0 | 纱 1 | 疼 2 | 嘱 3 | 肤 4 | 抄 5 | 愉 6 | 杏 7 | 窑 8 | 溉 9 | 

擦 : 抄 0 | 杏 1 | 嘱 2 | 溉 3 | 纱 4 | 垮 5 | 帷 6 | 坤 7 | 疼 8 | 魁 9 | 

萃 : 垮 0 | 坤 1 | 溉 2 | 魁 3 | 杏 4 | 冀 5 | 抄 6 | 樊 7 | 嘱 8 | 阎 9 | 

冈 : 冀 0 | 樊 1 | 魁 2 | 阎 3 | 坤 4 | 宰 5 | 垮 6 | 辐 7 | 溉 8 | 筋 9 | 

瞻 : 宰 0 | 辐 1 | 阎 2 | 筋 3 | 樊 4 | 刮 5 | 冀 6 | 沧 7 | 魁 8 | 辨 9 | 

翰 : 刮 0 | 沧 1 | 筋 2 | 辨 3 | 辐 4 | 勾 5 | 宰 6 | 幢 7 | 阎 8 | 萧 9 | 

桩 : 勾 0 | 幢 1 | 辨 2 | 萧 3 | 沧 4 | 悔 5 | 刮 6 | 鞭 7 | 筋 8 | 猎 9 | 

斥 : 悔 0 | 鞭 1 | 萧 2 | 猎 3 | 幢 4 | 鹰 5 | 勾 6 | 芦 7 | 辨 8 | 旭 9 | 

潭 : 鹰 0 | 芦 1 | 猎 2 | 旭 3 | 鞭 4 | 粹 5 | 悔 6 | 蒸 7 | 萧 8 | 撼 9 | 

凶 : 粹 0 | 蒸 1 | 旭 2 | 撼 3 | 芦 4 | 挚 5 | 鹰 6 | 芭 7 | 猎 8 | 斥 9 | 

谦 : 挚 0 | 芭 1 | 撼 2 | 斥 3 | 蒸 4 | 狭 5 | 粹 6 | 枣 7 | 旭 8 | 罐 9 | 

ｎ : 狭 0 | 枣 1 | 斥 2 | 罐 3 | 芭 4 | 痕 5 | 挚 6 | 饿 7 | 撼 8 | 蓉 9 | 

屯 : 痕 0 | 饿 1 | 罐 2 | 蓉 3 | 枣 4 | 熙 5 | 狭 6 | 咬 7 | 斥 8 | 衍 9 | 

卵 : 熙 0 | 咬 1 | 蓉 2 | 衍 3 | 饿 4 | 凑 5 | 痕 6 | 叛 7 | 罐 8 | 肺 9 | 

灶 : 凑 0 | 叛 1 | 衍 2 | 肺 3 | 咬 4 | 圩 5 | 熙 6 | 铃 7 | 蓉 8 | 瘦 9 | 

虐 : 圩 0 | 铃 1 | 肺 2 | 瘦 3 | 叛 4 | 饼 5 | 凑 6 | ｔ 7 | 衍 8 | 喻 9 | 

仑 : 饼 0 | ｔ 1 | 瘦 2 | 喻 3 | 铃 4 | 歉 5 | 圩 6 | 瞬 7 | 肺 8 | 啥 9 | 

椅 : 歉 0 | 瞬 1 | 喻 2 | 啥 3 | ｔ 4 | 恳 5 | 饼 6 | 淤 7 | 瘦 8 | 眠 9 | 

扇 : 恳 0 | 淤 1 | 啥 2 | 眠 3 | 瞬 4 | 藤 5 | 歉 6 | 俞 7 | 喻 8 | 亨 9 | 

邯 : 藤 0 | 俞 1 | 眠 2 | 亨 3 | 淤 4 | 汕 5 | 恳 6 | Ｌ 7 | 啥 8 | 韧 9 | 

沥 : 汕 0 | Ｌ 1 | 亨 2 | 韧 3 | 俞 4 | 奎 5 | 藤 6 | 巍 7 | 眠 8 | 瞻 9 | 

渣 : 奎 0 | 巍 1 | 韧 2 | 瞻 3 | Ｌ 4 | 崩 5 | 汕 6 | 壳 7 | 亨 8 | 穴 9 | 

渝 : 崩 0 | 壳 1 | 瞻 2 | 穴 3 | 巍 4 | 剖 5 | 奎 6 | 舱 7 | 韧 8 | 甫 9 | 

咸 : 剖 0 | 舱 1 | 穴 2 | 甫 3 | 壳 4 | 湛 5 | 崩 6 | 呵 7 | 瞻 8 | 芒 9 | 

硫 : 湛 0 | 呵 1 | 甫 2 | 芒 3 | 舱 4 | 匈 5 | 剖 6 | 碱 7 | 穴 8 | 躺 9 | 

ｅ : 匈 0 | 碱 1 | 芒 2 | 躺 3 | 呵 4 | 脊 5 | 湛 6 | 驳 7 | 甫 8 | 庐 9 | 

荫 : 脊 0 | 驳 1 | 躺 2 | 庐 3 | 碱 4 | 抒 5 | 匈 6 | 歇 7 | 芒 8 | 弦 9 | 

巍 : 抒 0 | 歇 1 | 庐 2 | 弦 3 | 驳 4 | 枢 5 | 脊 6 | 馨 7 | 躺 8 | 钧 9 | 

Ｌ : 枢 0 | 馨 1 | 弦 2 | 钧 3 | 歇 4 | 渤 5 | 抒 6 | 奴 7 | 庐 8 | 宙 9 | 

萎 : 渤 0 | 奴 1 | 钧 2 | 宙 3 | 馨 4 | 悼 5 | 枢 6 | 澄 7 | 弦 8 | 忌 9 | 

柯 : 悼 0 | 澄 1 | 宙 2 | 忌 3 | 奴 4 | 妨 5 | 渤 6 | Ｈ 7 | 钧 8 | 扛 9 | 

墓 : 妨 0 | Ｈ 1 | 忌 2 | 扛 3 | 澄 4 | 荫 5 | 悼 6 | 蔚 7 | 宙 8 | 拾 9 | 

帷 : 荫 0 | 蔚 1 | 扛 2 | 拾 3 | Ｈ 4 | 霜 5 | 妨 6 | 猜 7 | 忌 8 | ＊ 9 | 

逊 : 霜 0 | 猜 1 | 拾 2 | ＊ 3 | 蔚 4 | 襄 5 | 荫 6 | 衬 7 | 扛 8 | 叠 9 | 

鞠 : 襄 0 | 衬 1 | ＊ 2 | 叠 3 | 猜 4 | × 5 | 霜 6 | 屯 7 | 拾 8 | 鄱 9 | 

叠 : × 0 | 屯 1 | 叠 2 | 鄱 3 | 衬 4 | Ｋ 5 | 襄 6 | 疯 7 | ＊ 8 | 咸 9 | 

廖 : Ｋ 0 | 疯 1 | 鄱 2 | 咸 3 | 屯 4 | 岂 5 | × 6 | 爽 7 | 叠 8 | ｏ 9 | 

弦 : 岂 0 | 爽 1 | 咸 2 | ｏ 3 | 疯 4 | 谅 5 | Ｋ 6 | 厕 7 | 鄱 8 | 饥 9 | 

杠 : 谅 0 | 厕 1 | ｏ 2 | 饥 3 | 爽 4 | 侈 5 | 岂 6 | 隧 7 | 咸 8 | 朽 9 | 

踊 : 侈 0 | 隧 1 | 饥 2 | 朽 3 | 厕 4 | 陋 5 | 谅 6 | 堰 7 | ｏ 8 | 躯 9 | 

瞄 : 陋 0 | 堰 1 | 朽 2 | 躯 3 | 隧 4 | 亟 5 | 侈 6 | 芯 7 | 饥 8 | 袱 9 | 

撼 : 亟 0 | 芯 1 | 躯 2 | 袱 3 | 堰 4 | 慌 5 | 陋 6 | 啦 7 | 朽 8 | 碌 9 | 

吟 : 慌 0 | 啦 1 | 袱 2 | 碌 3 | 芯 4 | 厢 5 | 亟 6 | 鞍 7 | 躯 8 | 捉 9 | 

蜂 : 厢 0 | 鞍 1 | 碌 2 | 捉 3 | 啦 4 | 鬼 5 | 慌 6 | 邵 7 | 袱 8 | 摔 9 | 

矾 : 鬼 0 | 邵 1 | 捉 2 | 摔 3 | 鞍 4 | 镑 5 | 厢 6 | 蝶 7 | 碌 8 | 秧 9 | 

遂 : 镑 0 | 蝶 1 | 摔 2 | 秧 3 | 邵 4 | 浴 5 | 鬼 6 | 砸 7 | 捉 8 | 鼻 9 | 

抄 : 浴 0 | 砸 1 | 秧 2 | 鼻 3 | 蝶 4 | 陌 5 | 镑 6 | 僚 7 | 摔 8 | 赂 9 | 

铝 : 陌 0 | 僚 1 | 鼻 2 | 赂 3 | 砸 4 | 窄 5 | 浴 6 | 诫 7 | 秧 8 | 扔 9 | 

赈 : 窄 0 | 诫 1 | 赂 2 | 扔 3 | 僚 4 | 逸 5 | 陌 6 | 竖 7 | 鼻 8 | 颠 9 | 

匈 : 逸 0 | 竖 1 | 扔 2 | 颠 3 | 诫 4 | 莉 5 | 窄 6 | 链 7 | 赂 8 | 膀 9 | 

霖 : 莉 0 | 链 1 | 颠 2 | 膀 3 | 竖 4 | 刹 5 | 逸 6 | 兢 7 | 扔 8 | 狼 9 | 

朔 : 刹 0 | 兢 1 | 膀 2 | 狼 3 | 链 4 | 舶 5 | 莉 6 | 缠 7 | 颠 8 | 铝 9 | 

砸 : 舶 0 | 缠 1 | 狼 2 | 铝 3 | 兢 4 | 孜 5 | 刹 6 | 炬 7 | 膀 8 | 濒 9 | 

芽 : 孜 0 | 炬 1 | 铝 2 | 濒 3 | 缠 4 | 桔 5 | 舶 6 | 挠 7 | 狼 8 | 浆 9 | 

咬 : 桔 0 | 挠 1 | 濒 2 | 浆 3 | 炬 4 | 棒 5 | 孜 6 | 渝 7 | 铝 8 | 傍 9 | 

枢 : 棒 0 | 渝 1 | 浆 2 | 傍 3 | 挠 4 | 盯 5 | 桔 6 | 虐 7 | 濒 8 | 臭 9 | 

蜜 : 盯 0 | 虐 1 | 傍 2 | 臭 3 | 渝 4 | 惕 5 | 棒 6 | 葱 7 | 浆 8 | 歪 9 | 

纱 : 惕 0 | 葱 1 | 臭 2 | 歪 3 | 虐 4 | 夷 5 | 盯 6 | 娟 7 | 傍 8 | 莎 9 | 

畴 : 夷 0 | 娟 1 | 歪 2 | 莎 3 | 葱 4 | 绒 5 | 惕 6 | 烽 7 | 臭 8 | 蜂 9 | 

秆 : 绒 0 | 烽 1 | 莎 2 | 蜂 3 | 娟 4 | 秆 5 | 夷 6 | 彪 7 | 歪 8 | 泣 9 | 

喧 : 秆 0 | 彪 1 | 蜂 2 | 泣 3 | 烽 4 | 祭 5 | 绒 6 | 钞 7 | 莎 8 | 隶 9 | 

颤 : 祭 0 | 钞 1 | 泣 2 | 隶 3 | 彪 4 | 虾 5 | 秆 6 | 遂 7 | 蜂 8 | 筒 9 | 

臂 : 虾 0 | 遂 1 | 隶 2 | 筒 3 | 钞 4 | 闽 5 | 祭 6 | 秸 7 | 泣 8 | 粤 9 | 

晃 : 闽 0 | 秸 1 | 筒 2 | 粤 3 | 遂 4 | 丸 5 | 虾 6 | 姻 7 | 隶 8 | 鲍 9 | 

鬼 : 丸 0 | 姻 1 | 粤 2 | 鲍 3 | 秸 4 | 恨 5 | 闽 6 | ａ 7 | 筒 8 | 蹲 9 | 

歪 : 恨 0 | ａ 1 | 鲍 2 | 蹲 3 | 姻 4 | 螺 5 | 丸 6 | 肌 7 | 粤 8 | 晒 9 | 

苑 : 螺 0 | 肌 1 | 蹲 2 | 晒 3 | ａ 4 | 抹 5 | 恨 6 | Ｗ 7 | 鲍 8 | 卵 9 | 

吓 : 抹 0 | Ｗ 1 | 晒 2 | 卵 3 | 肌 4 | 铢 5 | 螺 6 | 沛 7 | 蹲 8 | 斋 9 | 

ｔ : 铢 0 | 沛 1 | 卵 2 | 斋 3 | Ｗ 4 | 垫 5 | 抹 6 | 梨 7 | 晒 8 | 趁 9 | 

饿 : 垫 0 | 梨 1 | 斋 2 | 趁 3 | 沛 4 | 躲 5 | 铢 6 | 淋 7 | 卵 8 | 珊 9 | 

缠 : 躲 0 | 淋 1 | 趁 2 | 珊 3 | 梨 4 | 颈 5 | 垫 6 | 骂 7 | 斋 8 | Ｘ 9 | 

芒 : 颈 0 | 骂 1 | 珊 2 | Ｘ 3 | 淋 4 | 吟 5 | 躲 6 | 曝 7 | 趁 8 | 崖 9 | 

牟 : 吟 0 | 曝 1 | Ｘ 2 | 崖 3 | 骂 4 | 叉 5 | 颈 6 | 邢 7 | 珊 8 | 茵 9 | 

匙 : 叉 0 | 邢 1 | 崖 2 | 茵 3 | 曝 4 | 漳 5 | 吟 6 | 厨 7 | Ｘ 8 | 拐 9 | 

呵 : 漳 0 | 厨 1 | 茵 2 | 拐 3 | 邢 4 | 俺 5 | 叉 6 | 菇 7 | 崖 8 | ｉ 9 | 

狼 : 俺 0 | 菇 1 | 拐 2 | ｉ 3 | 厨 4 | 苹 5 | 漳 6 | 萎 7 | 茵 8 | 慷 9 | 

刹 : 苹 0 | 萎 1 | ｉ 2 | 慷 3 | 菇 4 | 恼 5 | 俺 6 | 纹 7 | 拐 8 | 瑰 9 | 

抹 : 恼 0 | 纹 1 | 慷 2 | 瑰 3 | 萎 4 | 恪 5 | 苹 6 | 绥 7 | ｉ 8 | 躁 9 | 

耸 : 恪 0 | 绥 1 | 瑰 2 | 躁 3 | 纹 4 | 宛 5 | 恼 6 | 锣 7 | 慷 8 | ｒ 9 | 

兔 : 宛 0 | 锣 1 | 躁 2 | ｒ 3 | 绥 4 | 渣 5 | 恪 6 | 楷 7 | 瑰 8 | 椒 9 | 

恨 : 渣 0 | 楷 1 | ｒ 2 | 椒 3 | 锣 4 | 猖 5 | 宛 6 | 沂 7 | 躁 8 | 酝 9 | 

酝 : 猖 0 | 沂 1 | 椒 2 | 酝 3 | 楷 4 | 髓 5 | 渣 6 | 铅 7 | ｒ 8 | 遮 9 | 

赣 : 髓 0 | 铅 1 | 酝 2 | 遮 3 | 沂 4 | 馈 5 | 猖 6 | 舌 7 | 椒 8 | Ｒ 9 | 

麓 : 馈 0 | 舌 1 | 遮 2 | Ｒ 3 | 铅 4 | 喧 5 | 髓 6 | 斡 7 | 酝 8 | 衫 9 | 

绑 : 喧 0 | 斡 1 | Ｒ 2 | 衫 3 | 舌 4 | 粪 5 | 馈 6 | 匠 7 | 遮 8 | 绎 9 | 

肌 : 粪 0 | 匠 1 | 衫 2 | 绎 3 | 斡 4 | 哄 5 | 喧 6 | 迭 7 | Ｒ 8 | 汹 9 | 

焰 : 哄 0 | 迭 1 | 绎 2 | 汹 3 | 匠 4 | 缚 5 | 粪 6 | 怡 7 | 衫 8 | 汝 9 | 

稚 : 缚 0 | 怡 1 | 汹 2 | 汝 3 | 迭 4 | 晃 5 | 哄 6 | 雀 7 | 绎 8 | 禹 9 | 

抖 : 晃 0 | 雀 1 | 汝 2 | 禹 3 | 怡 4 | 肚 5 | 缚 6 | 蛇 7 | 汹 8 | 阜 9 | 

绥 : 肚 0 | 蛇 1 | 禹 2 | 阜 3 | 雀 4 | 喂 5 | 晃 6 | 羡 7 | 汝 8 | 琪 9 | 

扯 : 喂 0 | 羡 1 | 阜 2 | 琪 3 | 蛇 4 | 栗 5 | 肚 6 | 禄 7 | 禹 8 | 苑 9 | 

赃 : 栗 0 | 禄 1 | 琪 2 | 苑 3 | 羡 4 | 倪 5 | 喂 6 | 瘫 7 | 阜 8 | 寡 9 | 

瞒 : 倪 0 | 瘫 1 | 苑 2 | 寡 3 | 禄 4 | 痴 5 | 栗 6 | 萌 7 | 琪 8 | 摧 9 | 

裤 : 痴 0 | 萌 1 | 寡 2 | 摧 3 | 瘫 4 | 冉 5 | 倪 6 | 扇 7 | 苑 8 | 棠 9 | 

桓 : 冉 0 | 扇 1 | 摧 2 | 棠 3 | 萌 4 | 赌 5 | 痴 6 | 沾 7 | 寡 8 | 嘛 9 | 

忌 : 赌 0 | 沾 1 | 棠 2 | 嘛 3 | 扇 4 | 媳 5 | 冉 6 | 伞 7 | 摧 8 | 胃 9 | 

晖 : 媳 0 | 伞 1 | 嘛 2 | 胃 3 | 沾 4 | 惧 5 | 赌 6 | 灶 7 | 棠 8 | 闷 9 | 

碟 : 惧 0 | 灶 1 | 胃 2 | 闷 3 | 伞 4 | 驭 5 | 媳 6 | 乾 7 | 嘛 8 | 锤 9 | 

婉 : 驭 0 | 乾 1 | 闷 2 | 锤 3 | 灶 4 | 邪 5 | 惧 6 | 噪 7 | 胃 8 | 婉 9 | 

躯 : 邪 0 | 噪 1 | 锤 2 | 婉 3 | 乾 4 | 尧 5 | 驭 6 | 倘 7 | 闷 8 | 绑 9 | 

厌 : 尧 0 | 倘 1 | 婉 2 | 绑 3 | 噪 4 | 杠 5 | 邪 6 | 扯 7 | 锤 8 | 喇 9 | 

奸 : 杠 0 | 扯 1 | 绑 2 | 喇 3 | 倘 4 | 裹 5 | 尧 6 | 兔 7 | 婉 8 | 芽 9 | 

溜 : 裹 0 | 兔 1 | 喇 2 | 芽 3 | 扯 4 | 卉 5 | 杠 6 | 裤 7 | 绑 8 | 蜜 9 | 

慷 : 卉 0 | 裤 1 | 芽 2 | 蜜 3 | 兔 4 | 掠 5 | 裹 6 | 棍 7 | 喇 8 | 獗 9 | 

梳 : 掠 0 | 棍 1 | 蜜 2 | 獗 3 | 裤 4 | 浊 5 | 卉 6 | 沸 7 | 芽 8 | 鸽 9 | 

兽 : 浊 0 | 沸 1 | 獗 2 | 鸽 3 | 棍 4 | 稚 5 | 掠 6 | 彝 7 | 蜜 8 | 脂 9 | 

绎 : 稚 0 | 彝 1 | 鸽 2 | 脂 3 | 沸 4 | 漓 5 | 浊 6 | 漆 7 | 獗 8 | 耻 9 | 

俯 : 漓 0 | 漆 1 | 脂 2 | 耻 3 | 彝 4 | 鞠 5 | 稚 6 | 汲 7 | 鸽 8 | 敖 9 | 

熏 : 鞠 0 | 汲 1 | 耻 2 | 敖 3 | 漆 4 | 稼 5 | 漓 6 | 焰 7 | 脂 8 | 齿 9 | 

弓 : 稼 0 | 焰 1 | 敖 2 | 齿 3 | 汲 4 | 俘 5 | 鞠 6 | 溜 7 | 耻 8 | 嘎 9 | 

躺 : 俘 0 | 溜 1 | 齿 2 | 嘎 3 | 焰 4 | 铲 5 | 稼 6 | ｃ 7 | 敖 8 | 醇 9 | 

▲ : 铲 0 | ｃ 1 | 嘎 2 | 醇 3 | 溜 4 | 钊 5 | 俘 6 | 鑫 7 | 齿 8 | 踩 9 | 

掺 : 钊 0 | 鑫 1 | 醇 2 | 踩 3 | ｃ 4 | 沼 5 | 铲 6 | 恭 7 | 嘎 8 | 巢 9 | 

斧 : 沼 0 | 恭 1 | 踩 2 | 巢 3 | 鑫 4 | 僻 5 | 钊 6 | 寰 7 | 醇 8 | 霖 9 | 

罩 : 僻 0 | 寰 1 | 巢 2 | 霖 3 | 恭 4 | 樱 5 | 沼 6 | 尸 7 | 踩 8 | 麟 9 | 

墅 : 樱 0 | 尸 1 | 霖 2 | 麟 3 | 寰 4 | 兽 5 | 僻 6 | 昊 7 | 巢 8 | 陡 9 | 

僚 : 兽 0 | 昊 1 | 麟 2 | 陡 3 | 尸 4 | 龟 5 | 樱 6 | 裔 7 | 霖 8 | 觅 9 | 

泾 : 龟 0 | 裔 1 | 陡 2 | 觅 3 | 昊 4 | － 5 | 兽 6 | 泻 7 | 麟 8 | 绣 9 | 

铅 : － 0 | 泻 1 | 觅 2 | 绣 3 | 裔 4 | 桐 5 | 龟 6 | 聂 7 | 陡 8 | 硫 9 | 

忱 : 桐 0 | 聂 1 | 绣 2 | 硫 3 | 泻 4 | 徊 5 | － 6 | 邸 7 | 觅 8 | 瑟 9 | 

馈 : 徊 0 | 邸 1 | 硫 2 | 瑟 3 | 聂 4 | 涅 5 | 桐 6 | 烤 7 | 绣 8 | 徘 9 | 

帘 : 涅 0 | 烤 1 | 瑟 2 | 徘 3 | 邸 4 | 靖 5 | 徊 6 | 肢 7 | 硫 8 | 浏 9 | 

裹 : 靖 0 | 肢 1 | 徘 2 | 浏 3 | 烤 4 | 曙 5 | 涅 6 | 阀 7 | 瑟 8 | 薯 9 | 

驴 : 曙 0 | 阀 1 | 浏 2 | 薯 3 | 肢 4 | 焚 5 | 靖 6 | 咏 7 | 徘 8 | 蛮 9 | 

秃 : 焚 0 | 咏 1 | 薯 2 | 蛮 3 | 阀 4 | 晕 5 | 曙 6 | 吓 7 | 浏 8 | 钉 9 | 

沛 : 晕 0 | 吓 1 | 蛮 2 | 钉 3 | 咏 4 | 郸 5 | 焚 6 | 耘 7 | 薯 8 | 朔 9 | 

ｃ : 郸 0 | 耘 1 | 钉 2 | 朔 3 | 吓 4 | 叭 5 | 晕 6 | 赃 7 | 蛮 8 | 扳 9 | 

琢 : 叭 0 | 赃 1 | 朔 2 | 扳 3 | 耘 4 | 愚 5 | 郸 6 | 匙 7 | 钉 8 | 斐 9 | 

榴 : 愚 0 | 匙 1 | 扳 2 | 斐 3 | 赃 4 | 碳 5 | 叭 6 | 晖 7 | 朔 8 | 冤 9 | 

璐 : 碳 0 | 晖 1 | 斐 2 | 冤 3 | 匙 4 | 奸 5 | 愚 6 | 罩 7 | 扳 8 | 栖 9 | 

珊 : 奸 0 | 罩 1 | 冤 2 | 栖 3 | 晖 4 | 寥 5 | 碳 6 | 熏 7 | 斐 8 | 捆 9 | 

姬 : 寥 0 | 熏 1 | 栖 2 | 捆 3 | 罩 4 | 侠 5 | 奸 6 | 蛙 7 | 冤 8 | 诵 9 | 

侗 : 侠 0 | 蛙 1 | 捆 2 | 诵 3 | 熏 4 | 洼 5 | 寥 6 | 叮 7 | 栖 8 | 拢 9 | 

栖 : 洼 0 | 叮 1 | 诵 2 | 拢 3 | 蛙 4 | 毯 5 | 侠 6 | 擂 7 | 捆 8 | 榆 9 | 

瑟 : 毯 0 | 擂 1 | 拢 2 | 榆 3 | 叮 4 | 甩 5 | 洼 6 | 隙 7 | 诵 8 | 淫 9 | 

溶 : 甩 0 | 隙 1 | 榆 2 | 淫 3 | 擂 4 | 筛 5 | 毯 6 | 拱 7 | 拢 8 | 熬 9 | 

崖 : 筛 0 | 拱 1 | 淫 2 | 熬 3 | 隙 4 | 钥 5 | 甩 6 | 霉 7 | 榆 8 | 矮 9 | 

跻 : 钥 0 | 霉 1 | 熬 2 | 矮 3 | 拱 4 | 瞒 5 | 筛 6 | 俯 7 | 淫 8 | 卒 9 | 

樱 : 瞒 0 | 俯 1 | 矮 2 | 卒 3 | 霉 4 | 躬 5 | 钥 6 | 葫 7 | 熬 8 | 饺 9 | 

壶 : 躬 0 | 葫 1 | 卒 2 | 饺 3 | 俯 4 | 轴 5 | 瞒 6 | 汾 7 | 矮 8 | 寞 9 | 

鹅 : 轴 0 | 汾 1 | 饺 2 | 寞 3 | 葫 4 | 曰 5 | 躬 6 | 胖 7 | 卒 8 | 梭 9 | 

宠 : 曰 0 | 胖 1 | 寞 2 | 梭 3 | 汾 4 | 翅 5 | 轴 6 | 簇 7 | 饺 8 | ▲ 9 | 

暇 : 翅 0 | 簇 1 | 梭 2 | ▲ 3 | 胖 4 | 汁 5 | 曰 6 | 攒 7 | 寞 8 | 黔 9 | 

潇 : 汁 0 | 攒 1 | ▲ 2 | 黔 3 | 簇 4 | 仇 5 | 翅 6 | 肾 7 | 梭 8 | 抖 9 | 

钉 : 仇 0 | 肾 1 | 黔 2 | 抖 3 | 攒 4 | 倦 5 | 汁 6 | 拯 7 | ▲ 8 | 哗 9 | 

绚 : 倦 0 | 拯 1 | 抖 2 | 哗 3 | 肾 4 | 琦 5 | 仇 6 | 糕 7 | 黔 8 | 皖 9 | 

崎 : 琦 0 | 糕 1 | 哗 2 | 皖 3 | 拯 4 | 溶 5 | 倦 6 | 礁 7 | 抖 8 | 捍 9 | 

拢 : 溶 0 | 礁 1 | 皖 2 | 捍 3 | 糕 4 | 楠 5 | 琦 6 | 阮 7 | 哗 8 | 埠 9 | 

聂 : 楠 0 | 阮 1 | 捍 2 | 埠 3 | 礁 4 | 搁 5 | 溶 6 | 瑶 7 | 皖 8 | 颤 9 | 

烫 : 搁 0 | 瑶 1 | 埠 2 | 颤 3 | 阮 4 | 痹 5 | 楠 6 | 牟 7 | 捍 8 | 莹 9 | 

愚 : 痹 0 | 牟 1 | 颤 2 | 莹 3 | 瑶 4 | 翟 5 | 搁 6 | 啸 7 | 埠 8 | 萃 9 | 

炕 : 翟 0 | 啸 1 | 莹 2 | 萃 3 | 牟 4 | 畴 5 | 痹 6 | 峙 7 | 颤 8 | 绚 9 | 

鲍 : 畴 0 | 峙 1 | 萃 2 | 绚 3 | 啸 4 | 帼 5 | 翟 6 | 跋 7 | 莹 8 | 匾 9 | 

ｍ : 帼 0 | 跋 1 | 绚 2 | 匾 3 | 峙 4 | 壶 5 | 畴 6 | 榄 7 | 萃 8 | 哺 9 | 

贼 : 壶 0 | 榄 1 | 匾 2 | 哺 3 | 跋 4 | 烁 5 | 帼 6 | 滇 7 | 绚 8 | 跻 9 | 

磷 : 烁 0 | 滇 1 | 哺 2 | 跻 3 | 榄 4 | 萝 5 | 壶 6 | 逛 7 | 匾 8 | 厌 9 | 

噪 : 萝 0 | 逛 1 | 跻 2 | 厌 3 | 滇 4 | 讽 5 | 烁 6 | 瞄 7 | 哺 8 | 灸 9 | 

雀 : 讽 0 | 瞄 1 | 厌 2 | 灸 3 | 逛 4 | 郝 5 | 萝 6 | 筝 7 | 跻 8 | 滕 9 | 

蚊 : 郝 0 | 筝 1 | 灸 2 | 滕 3 | 瞄 4 | 渎 5 | 讽 6 | ｗ 7 | 厌 8 | 丙 9 | 

赡 : 渎 0 | ｗ 1 | 滕 2 | 丙 3 | 筝 4 | 琢 5 | 郝 6 | 暇 7 | 灸 8 | 簿 9 | 

氮 : 琢 0 | 暇 1 | 丙 2 | 簿 3 | ｗ 4 | 耸 5 | 渎 6 | 缕 7 | 滕 8 | 矩 9 | 

攒 : 耸 0 | 缕 1 | 簿 2 | 矩 3 | 暇 4 | 芜 5 | 琢 6 | ｌ 7 | 丙 8 | 蔽 9 | 

榻 : 芜 0 | ｌ 1 | 矩 2 | 蔽 3 | 缕 4 | 讳 5 | 耸 6 | 睐 7 | 簿 8 | 腻 9 | 

姨 : 讳 0 | 睐 1 | 蔽 2 | 腻 3 | ｌ 4 | 盏 5 | 芜 6 | 睁 7 | 矩 8 | 冕 9 | 

