。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 
饽 : 蜓 0 | 琬 1 | 昙 2 | 蜻 3 | 坳 4 | 

汀 : 狩 0 | 癣 1 | 蜻 2 | 咪 3 | 琬 4 | 

糅 : 砝 0 | 懿 1 | 咪 2 | 皋 3 | 癣 4 | 

檀 : 楣 0 | 蓦 1 | 皋 2 | 沌 3 | 懿 4 | 

唁 : 伎 0 | 陛 1 | 沌 2 | 窨 3 | 蓦 4 | 

俣 : 峋 0 | 莒 1 | 窨 2 | 遁 3 | 陛 4 | 

隍 : 邝 0 | 峥 1 | 遁 2 | 惴 3 | 莒 4 | 

撬 : 嵩 0 | 瞠 1 | 惴 2 | 粕 3 | 峥 4 | 

撩 : ［ 0 | 籼 1 | 粕 2 | 燧 3 | 瞠 4 | 

铿 : 亳 0 | 庥 1 | 燧 2 | 滁 3 | 籼 4 | 

茜 : 瘪 0 | 臼 1 | 滁 2 | 嗅 3 | 庥 4 | 

钺 : 鳄 0 | 摁 1 | 嗅 2 | 脯 3 | 臼 4 | 

枥 : 霆 0 | 佘 1 | 脯 2 | 嚓 3 | 摁 4 | 

ｖ : 咯 0 | 圪 1 | 嚓 2 | 馍 3 | 佘 4 | 

墒 : 妒 0 | ］ 1 | 馍 2 | 翡 3 | 圪 4 | 

炖 : 痼 0 | 钴 1 | 翡 2 | 擞 3 | ］ 4 | 

藩 : 銮 0 | 罔 1 | 擞 2 | 孪 3 | 钴 4 | 

脓 : 铐 0 | 挞 1 | 孪 2 | 懋 3 | 罔 4 | 

箫 : 咤 0 | 羹 1 | 懋 2 | 钎 3 | 挞 4 | 

泔 : 糜 0 | 滂 1 | 钎 2 | 糠 3 | 羹 4 | 

鹦 : 惆 0 | 叱 1 | 糠 2 | 睬 3 | 滂 4 | 

摈 : 耙 0 | 愫 1 | 睬 2 | 猾 3 | 叱 4 | 

芷 : 徨 0 | 祯 1 | 猾 2 | 蜗 3 | 愫 4 | 

萋 : 懊 0 | 藁 1 | 蜗 2 | 枞 3 | 祯 4 | 

倜 : 矍 0 | 钒 1 | 枞 2 | 豌 3 | 藁 4 | 

荚 : 蹭 0 | 箴 1 | 豌 2 | 哎 3 | 钒 4 | 

氦 : 汞 0 | 貂 1 | 哎 2 | 峒 3 | 箴 4 | 

唉 : 腆 0 | 轼 1 | 峒 2 | 稣 3 | 貂 4 | 

蹉 : 彷 0 | 岑 1 | 稣 2 | 弭 3 | 轼 4 | 

瞑 : 铂 0 | 岫 1 | 弭 2 | 轶 3 | 岑 4 | 

郴 : 暧 0 | 噼 1 | 轶 2 | 岷 3 | 岫 4 | 

磬 : 跆 0 | 戮 1 | 岷 2 | 铬 3 | 噼 4 | 

娑 : 蔺 0 | 赳 1 | 铬 2 | 孽 3 | 戮 4 | 

腆 : 蜇 0 | 鸠 1 | 孽 2 | 弩 3 | 赳 4 | 

娆 : 忑 0 | 塬 1 | 弩 2 | 跺 3 | 鸠 4 | 

郜 : 甭 0 | 栈 1 | 跺 2 | 楫 3 | 塬 4 | 

呻 : 忐 0 | 膑 1 | 楫 2 | 嗦 3 | 栈 4 | 

浣 : 腼 0 | 跚 1 | 嗦 2 | 嫣 3 | 膑 4 | 

簧 : 蹒 0 | 蹋 1 | 嫣 2 | 辘 3 | 跚 4 | 

羌 : 撷 0 | 聩 1 | 辘 2 | 镁 3 | 蹋 4 | 

宓 : 甥 0 | 菅 1 | 镁 2 | 狙 3 | 聩 4 | 

莒 : 胤 0 | 椽 1 | 狙 2 | 哆 3 | 菅 4 | 

笮 : 蔫 0 | 砭 1 | 哆 2 | 陂 3 | 椽 4 | 

笞 : 霾 0 | 笪 1 | 陂 2 | 鹜 3 | 砭 4 | 

遒 : 糅 0 | 诋 1 | 鹜 2 | 噙 3 | 笪 4 | 

铧 : 硼 0 | 丕 1 | 噙 2 | 熨 3 | 诋 4 | 

蟾 : 牒 0 | 躇 1 | 熨 2 | 踌 3 | 丕 4 | 

囿 : 琨 0 | 嵊 1 | 踌 2 | 岿 3 | 躇 4 | 

麾 : 稔 0 | 盂 1 | 岿 2 | 卯 3 | 嵊 4 | 

袄 : 妊 0 | ┃ 1 | 卯 2 | 猥 3 | 盂 4 | 

喃 : 珲 0 | 砾 1 | 猥 2 | 暄 3 | ┃ 4 | 

旖 : 笆 0 | 玮 1 | 暄 2 | 怏 3 | 砾 4 | 

诋 : 焯 0 | 褶 1 | 怏 2 | 肮 3 | 玮 4 | 

瑕 : 鬃 0 | 荤 1 | 肮 2 | 箩 3 | 褶 4 | 

隽 : 拗 0 | 葺 1 | 箩 2 | 昶 3 | 荤 4 | 

獭 : 浔 0 | 犟 1 | 昶 2 | 啄 3 | 葺 4 | 

罔 : 晔 0 | 怆 1 | 啄 2 | 赘 3 | 犟 4 | 

圄 : 摈 0 | 淞 1 | 赘 2 | 苣 3 | 怆 4 | 

掮 : 菩 0 | 蹿 1 | 苣 2 | 枭 3 | 淞 4 | 

硼 : 奘 0 | 剃 1 | 枭 2 | 赭 3 | 蹿 4 | 

啄 : 浃 0 | 峁 1 | 赭 2 | 梆 3 | 剃 4 | 

崽 : 俐 0 | 訇 1 | 梆 2 | 碴 3 | 峁 4 | 

⑤ : 绶 0 | 罂 1 | 碴 2 | 耆 3 | 訇 4 | 

厮 : 诃 0 | 娠 1 | 耆 2 | 嬗 3 | 罂 4 | 

卤 : 箕 0 | 昵 1 | 嬗 2 | 箔 3 | 娠 4 | 

奂 : ━ 0 | ┐ 1 | 箔 2 | ┘ 3 | 昵 4 | 

梵 : 恸 0 | 锏 1 | ┘ 2 | 涕 3 | ┐ 4 | 

镛 : 畦 0 | 唉 1 | 涕 2 | 唠 3 | 锏 4 | 

潼 : 贲 0 | 淙 1 | 唠 2 | 獭 3 | 唉 4 | 

嗽 : 骞 0 | 霎 1 | 獭 2 | 痊 3 | 淙 4 | 

谑 : 酉 0 | 畿 1 | 痊 2 | 邳 3 | 霎 4 | 

莓 : 搪 0 | 嶂 1 | 邳 2 | 盹 3 | 畿 4 | 

梏 : 珉 0 | 珂 1 | 盹 2 | 邕 3 | 嶂 4 | 

鲈 : 茉 0 | 脓 1 | 邕 2 | 赓 3 | 珂 4 | 

篝 : 卤 0 | 烃 1 | 赓 2 | 觑 3 | 脓 4 | 

猕 : 柩 0 | 帙 1 | 觑 2 | 哒 3 | 烃 4 | 

腼 : 蛰 0 | 驷 1 | 哒 2 | 栀 3 | 帙 4 | 

氪 : 澍 0 | 麒 1 | 栀 2 | 跄 3 | 驷 4 | 

扪 : → 0 | 绌 1 | 跄 2 | 翎 3 | 麒 4 | 

屉 : 耒 0 | 佚 1 | 翎 2 | 仟 3 | 绌 4 | 

烷 : 肋 0 | 踉 1 | 仟 2 | 臾 3 | 佚 4 | 

苕 : 饯 0 | 饷 1 | 臾 2 | 觞 3 | 踉 4 | 

峋 : 鸳 0 | 旎 1 | 觞 2 | 旖 3 | 饷 4 | 

臼 : 鸵 0 | 赅 1 | 旖 2 | 烬 3 | 旎 4 | 

鲲 : 萱 0 | 鸯 1 | 烬 2 | 晌 3 | 赅 4 | 

渑 : 隽 0 | 拈 1 | 晌 2 | 浜 3 | 鸯 4 | 

浜 : 悻 0 | 靛 1 | 浜 2 | 怔 3 | 拈 4 | 

踮 : 祉 0 | 窿 1 | 怔 2 | 柞 3 | 靛 4 | 

汴 : 儋 0 | 泠 1 | 柞 2 | ｖ 3 | 窿 4 | 

誊 : 娉 0 | 谑 1 | ｖ 2 | 妓 3 | 泠 4 | 

耆 : 撵 0 | 捋 1 | 妓 2 | 龛 3 | 谑 4 | 

旌 : 磺 0 | 潸 1 | 龛 2 | 砰 3 | 捋 4 | 

啜 : 耦 0 | 醛 1 | 砰 2 | 苓 3 | 潸 4 | 

鄄 : 渑 0 | 狞 1 | 苓 2 | 鹄 3 | 醛 4 | 

唏 : 啬 0 | 窠 1 | 鹄 2 | 竺 3 | 狞 4 | 

唆 : 吩 0 | 俪 1 | 竺 2 | 藐 3 | 窠 4 | 

哧 : 苎 0 | 湟 1 | 藐 2 | 濯 3 | 俪 4 | 

徨 : 砻 0 | 矜 1 | 濯 2 | 旌 3 | 湟 4 | 

彷 : 坨 0 | 蠕 1 | 旌 2 | 鲑 3 | 矜 4 | 

鹜 : 剁 0 | 戕 1 | 鲑 2 | 骡 3 | 蠕 4 | 

拗 : 骧 0 | 噜 1 | 骡 2 | 畲 3 | 戕 4 | 

蜻 : 舀 0 | 宸 1 | 畲 2 | 腴 3 | 噜 4 | 

缛 : 镂 0 | 咂 1 | 腴 2 | 汊 3 | 宸 4 | 

聩 : 歙 0 | 楦 1 | 汊 2 | 聿 3 | 咂 4 | 

嚏 : 榷 0 | 桧 1 | 聿 2 | 汴 3 | 楦 4 | 

黠 : 芥 0 | 妩 1 | 汴 2 | 娼 3 | 桧 4 | 

筢 : 潦 0 | 荻 1 | 娼 2 | 稞 3 | 妩 4 | 

悯 : 阡 0 | 僳 1 | 稞 2 | 椁 3 | 荻 4 | 

脲 : 矾 0 | 狰 1 | 椁 2 | 尕 3 | 僳 4 | 

庵 : 皿 0 | 骝 1 | 尕 2 | 踱 3 | 狰 4 | 

呦 : 搐 0 | 婀 1 | 踱 2 | 洌 3 | 骝 4 | 

锃 : 傈 0 | 虬 1 | 洌 2 | 邗 3 | 婀 4 | 

阖 : 淬 0 | 诩 1 | 邗 2 | 溆 3 | 虬 4 | 

赓 : 杳 0 | 淖 1 | 溆 2 | 纣 3 | 诩 4 | 

楔 : 浣 0 | 鄄 1 | 纣 2 | 痣 3 | 淖 4 | 

箸 : 嗷 0 | 桅 1 | 痣 2 | 汐 3 | 鄄 4 | 

狰 : 搔 0 | 酗 1 | 汐 2 | 酚 3 | 桅 4 | 

搐 : 捭 0 | 噌 1 | 酚 2 | 檬 3 | 酗 4 | 

舔 : 怵 0 | 朊 1 | 檬 2 | 铛 3 | 噌 4 | 

钠 : 谩 0 | 唧 1 | 铛 2 | 氦 3 | 朊 4 | 

樨 : 铆 0 | 啻 1 | 氦 2 | 蓊 3 | 唧 4 | 

＞ : 谲 0 | 禀 1 | 蓊 2 | 篾 3 | 啻 4 | 

蝗 : 翦 0 | 忿 1 | 篾 2 | 鄞 3 | 禀 4 | 

纰 : 咣 0 | 彗 1 | 鄞 2 | 邂 3 | 忿 4 | 

＜ : 佯 0 | 疡 1 | 邂 2 | 讷 3 | 彗 4 | 

匍 : 帛 0 | 糌 1 | 讷 2 | 痍 3 | 疡 4 | 

逅 : 辕 0 | 颍 1 | 痍 2 | 睢 3 | 糌 4 | 

盹 : 逅 0 | 肽 1 | 睢 2 | 姹 3 | 颍 4 | 

狞 : 婵 0 | 瘸 1 | 姹 2 | 邛 3 | 肽 4 | 

碚 : 讪 0 | 臀 1 | 邛 2 | 咙 3 | 瘸 4 | 

姹 : 昱 0 | 爿 1 | 咙 2 | 鲈 3 | 臀 4 | 

钽 : 梏 0 | 桎 1 | 鲈 2 | 璜 3 | 爿 4 | 

琏 : 洄 0 | 胱 1 | 璜 2 | 唆 3 | 桎 4 | 

俐 : 唏 0 | 缄 1 | 唆 2 | 偻 3 | 胱 4 | 

诒 : 佝 0 | 庖 1 | 偻 2 | 荥 3 | 缄 4 | 

谯 : 勐 0 | 黏 1 | 荥 2 | 宦 3 | 庖 4 | 

阉 : 茔 0 | 朐 1 | 宦 2 | 狈 3 | 黏 4 | 

孢 : 蓿 0 | 辊 1 | 狈 2 | 碣 3 | 朐 4 | 

擘 : 吮 0 | 苜 1 | 碣 2 | 嘭 3 | 辊 4 | 

幔 : 镯 0 | ｘ 1 | 嘭 2 | 闾 3 | 苜 4 | 

钵 : 嚎 0 | 榛 1 | 闾 2 | 崮 3 | ｘ 4 | 

遛 : 痞 0 | 勰 1 | 崮 2 | 镖 3 | 榛 4 | 

邈 : 琥 0 | 嗨 1 | 镖 2 | 戥 3 | 勰 4 | 

銮 : 蕙 0 | 俾 1 | 戥 2 | 裆 3 | 嗨 4 | 

骁 : 儆 0 | 涞 1 | 裆 2 | 泔 3 | 俾 4 | 

阚 : 嵇 0 | 俟 1 | 泔 2 | 垭 3 | 涞 4 | 

锏 : 焱 0 | 倌 1 | 垭 2 | 涎 3 | 俟 4 | 

龈 : 坻 0 | 苒 1 | 涎 2 | 磬 3 | 倌 4 | 

龉 : 榔 0 | 痢 1 | 磬 2 | 琏 3 | 苒 4 | 

ｊ : 匍 0 | 蠹 1 | 琏 2 | 珏 3 | 痢 4 | 

锨 : 鲟 0 | 匐 1 | 珏 2 | 鲲 3 | 蠹 4 | 

雒 : 肄 0 | 呗 1 | 鲲 2 | 矸 3 | 匐 4 | 

醚 : 蛤 0 | 钗 1 | 矸 2 | 葳 3 | 呗 4 | 

犟 : Ⅳ 0 | 诘 1 | 葳 2 | 婶 3 | 钗 4 | 

崮 : 沏 0 | 馏 1 | 婶 2 | 阕 3 | 诘 4 | 

狈 : 桉 0 | 吠 1 | 阕 2 | 踝 3 | 馏 4 | 

艮 : 溴 0 | 飚 1 | 踝 2 | 锑 3 | 吠 4 | 

儡 : Ⅰ 0 | 麾 1 | 锑 2 | 麝 3 | 飚 4 | 

桫 : 缳 0 | 莨 1 | 麝 2 | 猷 3 | 麾 4 | 

胝 : 褛 0 | 邈 1 | 猷 2 | 悯 3 | 莨 4 | 

忪 : 靓 0 | 悴 1 | 悯 2 | 瞳 3 | 邈 4 | 

嬴 : 莅 0 | 憔 1 | 瞳 2 | 蕤 3 | 悴 4 | 

蚱 : 琮 0 | 抻 1 | 蕤 2 | 菪 3 | 憔 4 | 

藜 : 揩 0 | 揍 1 | 菪 2 | 揆 3 | 抻 4 | 

蕤 : 嘤 0 | 髯 1 | 揆 2 | 捶 3 | 揍 4 | 

煊 : 蕃 0 | 杲 1 | 捶 2 | 倥 3 | 髯 4 | 

燧 : 馥 0 | 湎 1 | 倥 2 | 墀 3 | 杲 4 | 

椤 : 塾 0 | 苕 1 | 墀 2 | 偬 3 | 湎 4 | 

岘 : 蜷 0 | 铣 1 | 偬 2 | 骁 3 | 苕 4 | 

岫 : 啾 0 | 荏 1 | 骁 2 | 怂 3 | 铣 4 | 

枇 : 蟀 0 | 蟋 1 | 怂 2 | 褴 3 | 荏 4 | 

碣 : ｚ 0 | 谕 1 | 褴 2 | 踹 3 | 蟋 4 | 

硐 : 韭 0 | 腓 1 | 踹 2 | 砒 3 | 谕 4 | 

俸 : 娲 0 | 橇 1 | 砒 2 | 螟 3 | 腓 4 | 

挛 : 膘 0 | 棂 1 | 螟 2 | 蛊 3 | 橇 4 | 

旮 : 煲 0 | 嗤 1 | 蛊 2 | 滹 3 | 棂 4 | 

眩 : 胯 0 | 匕 1 | 滹 2 | 谤 3 | 嗤 4 | 

撇 : 芪 0 | 寮 1 | 谤 2 | 戟 3 | 匕 4 | 

偬 : 湄 0 | 芨 1 | 戟 2 | 逄 3 | 寮 4 | 

侩 : 孑 0 | 霁 1 | 逄 2 | 仞 3 | 芨 4 | 

咻 : 醚 0 | 酪 1 | 仞 2 | 雳 3 | 霁 4 | 

桅 : 濑 0 | 酩 1 | 雳 2 | 潋 3 | 酪 4 | 

篑 : 滟 0 | 舛 1 | 潋 2 | 舔 3 | 酩 4 | 

瓒 : 茭 0 | 祢 1 | 舔 2 | 厝 3 | 舛 4 | 

甭 : 恿 0 | 渚 1 | 厝 2 | 悌 3 | 祢 4 | 

俎 : 遛 0 | 硒 1 | 悌 2 | 幡 3 | 渚 4 | 

禧 : 霹 0 | 咭 1 | 幡 2 | 崃 3 | 硒 4 | 

÷ : 磙 0 | 挛 1 | 崃 2 | 苫 3 | 咭 4 | 

裟 : 蛐 0 | 猗 1 | 苫 2 | 珈 3 | 挛 4 | 

诨 : 鳏 0 | 旮 1 | 珈 2 | Ⅴ 3 | 猗 4 | 

勰 : ★ 0 | 鲢 1 | Ⅴ 2 | 旯 3 | 旮 4 | 

踉 : 癖 0 | 夼 1 | 旯 2 | 嗖 3 | 鲢 4 | 

墉 : 嗔 0 | 唬 1 | 嗖 2 | 阚 3 | 夼 4 | 

氵 : 阉 0 | 诽 1 | 阚 2 | 盅 3 | 唬 4 | 

淠 : 婧 0 | 绂 1 | 盅 2 | 唢 3 | 诽 4 | 

⑥ : 钕 0 | 篙 1 | 唢 2 | 桠 3 | 绂 4 | 

诏 : 憷 0 | 奂 1 | 桠 2 | 烩 3 | 篙 4 | 

褡 : 涮 0 | 埝 1 | 烩 2 | 郄 3 | 奂 4 | 

啉 : 啕 0 | 囹 1 | 郄 2 | 诏 3 | 埝 4 | 

逡 : 圄 0 | 溟 1 | 诏 2 | 忖 3 | 囹 4 | 

豇 : 陟 0 | 谀 1 | 忖 2 | 擘 3 | 溟 4 | 

喋 : 隗 0 | 谌 1 | 擘 2 | 嗽 3 | 谀 4 | 

嗟 : 仨 0 | 饨 1 | 嗽 2 | 簪 3 | 谌 4 | 

躏 : 馄 0 | 芗 1 | 簪 2 | 筵 3 | 饨 4 | 

噌 : 筠 0 | 隍 1 | 筵 2 | 珙 3 | 芗 4 | 

沆 : 鹳 0 | 炀 1 | 珙 2 | 痉 3 | 隍 4 | 

嗷 : 酰 0 | 濠 1 | 痉 2 | 堑 3 | 炀 4 | 

躅 : 屺 0 | 骛 1 | 堑 2 | 濂 3 | 濠 4 | 

恽 : 炔 0 | 蹂 1 | 濂 2 | 萸 3 | 骛 4 | 

绂 : 姣 0 | 砟 1 | 萸 2 | 皴 3 | 蹂 4 | 

糌 : 漕 0 | 蹩 1 | 皴 2 | 啜 3 | 砟 4 | 

骐 : 芡 0 | 翊 1 | 啜 2 | 跹 3 | 蹩 4 | 

撷 : 艮 0 | 荚 1 | 跹 2 | 幺 3 | 翊 4 | 

馑 : 琰 0 | 腋 1 | 幺 2 | 咔 3 | 荚 4 | 

轫 : 荪 0 | 馗 1 | 咔 2 | 躏 3 | 腋 4 | 

昱 : 酽 0 | 郫 1 | 躏 2 | 庾 3 | 馗 4 | 

噎 : 溽 0 | 琊 1 | 庾 2 | 捻 3 | 郫 4 | 

穑 : 洇 0 | 锒 1 | 捻 2 | 诛 3 | 琊 4 | 

畿 : 鳅 0 | 俎 1 | 诛 2 | 锶 3 | 锒 4 | 

筠 : 蜘 0 | 镉 1 | 锶 2 | 噎 3 | 俎 4 | 

峁 : 仝 0 | 铠 1 | 噎 2 | 仄 3 | 镉 4 | 

衩 : 魇 0 | 蟠 1 | 仄 2 | 阄 3 | 铠 4 | 

骡 : ┛ 0 | ┓ 1 | 阄 2 | ⑤ 3 | 蟠 4 | 

萸 : 诅 0 | 晟 1 | ⑤ 2 | 鲇 3 | ┓ 4 | 

澹 : 祜 0 | 滓 1 | 鲇 2 | 刍 3 | 晟 4 | 

妓 : 渌 0 | 锃 1 | 刍 2 | 藓 3 | 滓 4 | 

钕 : 纰 0 | 伢 1 | 藓 2 | 瞌 3 | 锃 4 | 

橇 : 埙 0 | 崂 1 | 瞌 2 | 缈 3 | 伢 4 | 

蜃 : 枸 0 | 敝 1 | 缈 2 | 痔 3 | 崂 4 | 

仨 : 蛾 0 | 蜃 1 | 痔 2 | 鹉 3 | 敝 4 | 

珩 : 泅 0 | 鼐 1 | 鹉 2 | 鹞 3 | 蜃 4 | 

吭 : 羸 0 | 鹦 1 | 鹞 2 | 搡 3 | 鼐 4 | 

＆ : 叼 0 | 鄯 1 | 搡 2 | 敕 3 | 鹦 4 | 

漕 : 菽 0 | 翳 1 | 敕 2 | 雉 3 | 鄯 4 | 

垢 : 喟 0 | 蟥 1 | 雉 2 | 袈 3 | 翳 4 | 

